 "y","U","k","epsilon","nut","tau_mu","tau_R","Pk","Tk","Dk","Peps","Teps","Deps","epsEps"
  0.2000000000E+01,  0.1870715773E+01,  0.8998425489E-01,  0.5285896280E-01,  0.1341039806E-02,  0.9294211576E+00,  0.1246390769E-02,  0.1158421951E-02,  0.2592719927E-03,  0.5144138060E-01,  0.9867040095E-03,  0.1444434104E-04,  0.2318177235E-02, -0.3319219052E-02
  0.2100000000E+01,  0.1963623441E+01,  0.9954174865E-01,  0.5363637056E-01,  0.1556615747E-02,  0.9287218211E+00,  0.1445663012E-02,  0.1342618785E-02,  0.3041315912E-03,  0.5198974582E-01,  0.1048998430E-02,  0.1653551395E-04,  0.2287914870E-02, -0.3353337938E-02
  0.2200000000E+01,  0.2056460137E+01,  0.1096191399E+00,  0.5443665746E-01,  0.1795747912E-02,  0.9280009546E+00,  0.1666455777E-02,  0.1546472552E-02,  0.3546715021E-03,  0.5253565402E-01,  0.1113564248E-02,  0.1883546132E-04,  0.2257128243E-02, -0.3389412677E-02
  0.2300000000E+01,  0.2149223632E+01,  0.1202218876E+00,  0.5525951565E-01,  0.2060153391E-02,  0.9272570338E+00,  0.1910291722E-02,  0.1771331436E-02,  0.4114344669E-03,  0.5307690643E-01,  0.1180568969E-02,  0.2135876638E-04,  0.2225621164E-02, -0.3427429168E-02
  0.2400000000E+01,  0.2241911543E+01,  0.1313554044E+00,  0.5610463005E-01,  0.2351662931E-02,  0.9264884395E+00,  0.2178788519E-02,  0.2018622375E-02,  0.4750063502E-03,  0.5361117523E-01,  0.1250183728E-02,  0.2412073538E-04,  0.2193205623E-02, -0.3467385839E-02
  0.2500000000E+01,  0.2334521320E+01,  0.1430250330E+00,  0.5697167651E-01,  0.2672228490E-02,  0.9256934519E+00,  0.2473664415E-02,  0.2289854951E-02,  0.5460178915E-03,  0.5413599596E-01,  0.1322582946E-02,  0.2713735358E-04,  0.2159703802E-02, -0.3509295278E-02
  0.2600000000E+01,  0.2427050234E+01,  0.1552360215E+00,  0.5786032000E-01,  0.3023930551E-02,  0.9248702456E+00,  0.2796743392E-02,  0.2586624747E-02,  0.6251461401E-03,  0.5464876102E-01,  0.1397943947E-02,  0.3042522847E-04,  0.2124950381E-02, -0.3553186096E-02
  0.2700000000E+01,  0.2519495369E+01,  0.1679934977E+00,  0.5877021300E-01,  0.3408985175E-02,  0.9240168849E+00,  0.3149959862E-02,  0.2910616099E-02,  0.7131155127E-03,  0.5514671416E-01,  0.1476446524E-02,  0.3400152134E-04,  0.2088795128E-02, -0.3599105016E-02
  0.2800000000E+01,  0.2611853611E+01,  0.1813024410E+00,  0.5970099395E-01,  0.3829750749E-02,  0.9231313194E+00,  0.3535362862E-02,  0.3263604183E-02,  0.8106984082E-03,  0.5562694628E-01,  0.1558272455E-02,  0.3788386885E-04,  0.2051105755E-02, -0.3647119161E-02
  0.2900000000E+01,  0.2704121633E+01,  0.1951676537E+00,  0.6065228595E-01,  0.4288734402E-02,  0.9222113808E+00,  0.3955119675E-02,  0.3647456377E-02,  0.9187153075E-03,  0.5608639268E-01,  0.1643604953E-02,  0.4209029670E-04,  0.2011771009E-02, -0.3697318519E-02
  0.3000000000E+01,  0.2796295887E+01,  0.2095937304E+00,  0.6162369567E-01,  0.4788598055E-02,  0.9212547795E+00,  0.4411518845E-02,  0.4064132821E-02,  0.1038034278E-02,  0.5652183184E-01,  0.1732628077E-02,  0.4663912827E-04,  0.1970703941E-02, -0.3749818521E-02
  0.3100000000E+01,  0.2888372589E+01,  0.2245850254E+00,  0.6261481243E-01,  0.5332164051E-02,  0.9202591026E+00,  0.4906972504E-02,  0.4515686113E-02,  0.1169569803E-02,  0.5692988603E-01,  0.1825526060E-02,  0.5154889162E-04,  0.1927845287E-02, -0.3804762666E-02
  0.3200000000E+01,  0.2980347708E+01,  0.2401456192E+00,  0.6362520764E-01,  0.5922420340E-02,  0.9192218120E+00,  0.5444017957E-02,  0.5004260051E-02,  0.1314280835E-02,  0.5730702397E-01,  0.1922482594E-02,  0.5683822877E-04,  0.1883166844E-02, -0.3862325081E-02
  0.3300000000E+01,  0.3072216951E+01,  0.2562792833E+00,  0.6465443451E-01,  0.6562525149E-02,  0.9181402440E+00,  0.6025318442E-02,  0.5532087345E-02,  0.1473167996E-02,  0.5764956556E-01,  0.2023680037E-02,  0.6252581165E-04,  0.1836674713E-02, -0.3922712901E-02
  0.3400000000E+01,  0.3163975756E+01,  0.2729894431E+00,  0.6570202814E-01,  0.7255811089E-02,  0.9170116092E+00,  0.6653663003E-02,  0.6101486218E-02,  0.1647269802E-02,  0.5795368919E-01,  0.2129298559E-02,  0.6863026938E-04,  0.1788412238E-02, -0.3986168265E-02
  0.3500000000E+01,  0.3255619273E+01,  0.2902791397E+00,  0.6676750589E-01,  0.8005788635E-02,  0.9158329938E+00,  0.7331965373E-02,  0.6714855797E-02,  0.1837657826E-02,  0.5821544157E-01,  0.2239515223E-02,  0.7517013099E-04,  0.1738462403E-02, -0.4052969750E-02
  0.3600000000E+01,  0.3347142355E+01,  0.3081509908E+00,  0.6785036826E-01,  0.8816148897E-02,  0.9146013615E+00,  0.8063261784E-02,  0.7374670205E-02,  0.2045430690E-02,  0.5843075048E-01,  0.2354502991E-02,  0.8216378723E-04,  0.1686949449E-02, -0.4123432951E-02
  0.3700000000E+01,  0.3438539545E+01,  0.3266071493E+00,  0.6895010012E-01,  0.9690765610E-02,  0.9133135573E+00,  0.8850707612E-02,  0.8083471254E-02,  0.2271706780E-02,  0.5859544064E-01,  0.2474429670E-02,  0.8962947340E-04,  0.1634039381E-02, -0.4197909915E-02
  0.3800000000E+01,  0.3529805067E+01,  0.3456492623E+00,  0.7006617238E-01,  0.1063369624E-01,  0.9119663120E+00,  0.9697572747E-02,  0.8843859654E-02,  0.2517615594E-02,  0.5870525277E-01,  0.2599456793E-02,  0.9758527239E-04,  0.1579939028E-02, -0.4276787085E-02
  0.3900000000E+01,  0.3620932808E+01,  0.3652784278E+00,  0.7119804403E-01,  0.1164918213E-01,  0.9105562481E+00,  0.1060723558E-01,  0.9658484631E-02,  0.2784287634E-02,  0.5875586618E-01,  0.2729738425E-02,  0.1060491338E-03,  0.1524893267E-02, -0.4360481354E-02
  0.4000000000E+01,  0.3711916316E+01,  0.3854951520E+00,  0.7234516461E-01,  0.1274164752E-01,  0.9090798875E+00,  0.1158317549E-01,  0.1053003188E-01,  0.3072842767E-02,  0.5874292487E-01,  0.2865419926E-02,  0.1150388992E-03,  0.1469180022E-02, -0.4449433845E-02
  0.4100000000E+01,  0.3802748785E+01,  0.4062993054E+00,  0.7350697700E-01,  0.1391569739E-01,  0.9075336604E+00,  0.1262896379E-01,  0.1146120974E-01,  0.3384377021E-02,  0.5866206738E-01,  0.3006636637E-02,  0.1245723179E-03,  0.1413102649E-02, -0.4544101008E-02
  0.4200000000E+01,  0.3893423048E+01,  0.4276900794E+00,  0.7468292041E-01,  0.1517611403E-01,  0.9059139165E+00,  0.1374825289E-01,  0.1245473362E-01,  0.3719947775E-02,  0.5850896017E-01,  0.3153512533E-02,  0.1346670283E-03,  0.1356979387E-02, -0.4644942691E-02
